ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
AADI,AADI.JK,Adaro Andalan Indonesia Tbk.,05 Des 2024,7786891760,Utama,active,
AALI,AALI.JK,Astra Agro Lestari Tbk.,09 Des 1997,1924688333,Utama,active,
ABBA,ABBA.JK,Mahaka Media Tbk.,03 Apr 2002,3935892857,Pemantauan Khusus,special_monitoring,
ABDA,ABDA.JK,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620806680,Pemantauan Khusus,special_monitoring,
ABMM,ABMM.JK,ABM Investama Tbk.,06 Des 2011,2753165000,Utama,active,
ACES,ACES.JK,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17120389700,Utama,active,
ACRO,ACRO.JK,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3469345537,Pengembangan,active,
ACST,ACST.JK,Acset Indonusa Tbk.,24 Jun 2013,17675160000,Pemantauan Khusus,special_monitoring,
ADCP,ADCP.JK,Adhi Commuter Properti Tbk.,21 Mei 2021,22222222200,Pengembangan,active,
ADES,ADES.JK,Akasha Wira International Tbk.,13 Jun 1994,589896800,Pengembangan,active,
ADHI,ADHI.JK,Adhi Karya (Persero) Tbk.,18 Mar 2004,8407608979,Utama,active,
ADMF,ADMF.JK,Adira Dinamika Multi Finance T,31 Mar 2004,1235803109,Pengembangan,active,
ADMG,ADMG.JK,Polychem Indonesia Tbk,20 Okt 1993,3889179559,Pengembangan,active,
ADMR,ADMR.JK,Alamtri Minerals Indonesia Tbk,03 Jan 2022,40882331500,Utama,active,
ADRO,ADRO.JK,Alamtri Resources Indonesia Tb,16 Jul 2008,29389689400,Utama,active,
AEGS,AEGS.JK,Anugerah Spareparts Sejahtera,11 Sep 2023,1006080721,Akselerasi,active,
AGAR,AGAR.JK,Asia Sejahtera Mina Tbk.,02 Des 2019,1000000000,Pengembangan,active,
AGII,AGII.JK,Samator Indo Gas Tbk.,28 Sep 2016,3066660000,Pengembangan,active,
AGRO,AGRO.JK,Bank Raya Indonesia Tbk.,08 Agt 2003,24493093216,Utama,active,
AGRS,AGRS.JK,Bank IBK Indonesia Tbk.,22 Des 2014,47367057874,Pengembangan,active,
AHAP,AHAP.JK,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4900000000,Pengembangan,active,
AIMS,AIMS.JK,Artha Mahiya Investama Tbk.,20 Jul 2001,220000000,Pengembangan,active,
AISA,AISA.JK,FKS Food Sejahtera Tbk.,11 Jun 1997,9311800000,Utama,active,
AKKU,AKKU.JK,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6449463636,Pemantauan Khusus,special_monitoring,
AKPI,AKPI.JK,Argha Karya Prima Industry Tbk,18 Des 1992,612248000,Pengembangan,active,
AKRA,AKRA.JK,AKR Corporindo Tbk.,03 Okt 1994,20073474600,Utama,active,
AKSI,AKSI.JK,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720000000,Pengembangan,active,
ALDO,ALDO.JK,Alkindo Naratama Tbk.,12 Jul 2011,2700713744,Pengembangan,active,
ALII,ALII.JK,Ancara Logistics Indonesia Tbk,07 Feb 2024,15825800000,Utama,active,
ALKA,ALKA.JK,Alakasa Industrindo Tbk,12 Jul 1990,507665055,Pengembangan,active,
ALMI,ALMI.JK,Alumindo Light Metal Industry,02 Jan 1997,3816000000,Pemantauan Khusus,special_monitoring,
ALTO,ALTO.JK,Tri Banyan Tirta Tbk.,10 Jul 2012,2191870558,Pemantauan Khusus,special_monitoring,
AMAG,AMAG.JK,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5001552516,Pengembangan,active,
AMAN,AMAN.JK,Makmur Berkah Amanda Tbk.,13 Mar 2020,3873500000,Pengembangan,active,
AMAR,AMAR.JK,Bank Amar Indonesia Tbk.,09 Jan 2020,18197283760,Pengembangan,active,
AMFG,AMFG.JK,Asahimas Flat Glass Tbk.,08 Nov 1995,434000000,Pengembangan,active,
AMIN,AMIN.JK,Ateliers Mecaniques D Indonesi,10 Des 2015,1080000000,Pengembangan,active,
AMMN,AMMN.JK,Amman Mineral Internasional Tb,07 Jul 2023,72518217656,Utama,active,
AMMS,AMMS.JK,Agung Menjangan Mas Tbk.,04 Agt 2022,1235296802,Akselerasi,active,
AMOR,AMOR.JK,Ashmore Asset Management Indon,14 Jan 2020,2222222400,Pengembangan,active,
AMRT,AMRT.JK,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41524501700,Utama,active,
ANDI,ANDI.JK,Andira Agro Tbk.,16 Agt 2018,9350000000,Pemantauan Khusus,special_monitoring,
ANJT,ANJT.JK,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3354175000,Pengembangan,active,
ANTM,ANTM.JK,Aneka Tambang Tbk.,27 Nov 1997,24030764725,Utama,active,
APEX,APEX.JK,Apexindo Pratama Duta Tbk.,05 Jun 2013,3546466661,Pengembangan,active,
APIC,APIC.JK,Pacific Strategic Financial Tb,18 Des 2002,11766313488,Pengembangan,active,
APII,APII.JK,Arita Prima Indonesia Tbk.,29 Okt 2013,1075760000,Pengembangan,active,
