ticker,symbol_yf,sector,board
AALI,AALI.JK,,
ABBA,ABBA.JK,,
ABDA,ABDA.JK,,
ABMM,ABMM.JK,,
ACES,ACES.JK,,
ACST,ACST.JK,,
ADES,ADES.JK,,
ADHI,ADHI.JK,,
ADMF,ADMF.JK,,
ADMG,ADMG.JK,,
ADRO,ADRO.JK,,
AGII,AGII.JK,,
AGRO,AGRO.JK,,
AGRS,AGRS.JK,,
AHAP,AHAP.JK,,
AIMS,AIMS.JK,,
AISA,AISA.JK,,
AKKU,AKKU.JK,,
AKPI,AKPI.JK,,
AKRA,AKRA.JK,,
AKSI,AKSI.JK,,
ALDO,ALDO.JK,,
ALKA,ALKA.JK,,
ALMI,ALMI.JK,,
ALTO,ALTO.JK,,
AMAG,AMAG.JK,,
AMFG,AMFG.JK,,
AMIN,AMIN.JK,,
AMRT,AMRT.JK,,
ANDI,ANDI.JK,,
ANJT,ANJT.JK,,
ANTM,ANTM.JK,,
APEX,APEX.JK,,
APIC,APIC.JK,,
APII,APII.JK,,
APLI,APLI.JK,,
APLN,APLN.JK,,
ARGO,ARGO.JK,,
ARII,ARII.JK,,
ARNA,ARNA.JK,,
ARTA,ARTA.JK,,
ARTI,ARTI.JK,,
ARTO,ARTO.JK,,
ASBI,ASBI.JK,,
ASDM,ASDM.JK,,
ASGR,ASGR.JK,,
ASII,ASII.JK,,
ASJT,ASJT.JK,,
ASMI,ASMI.JK,,
ASPR,ASPR.JK,Industrials?,Development
ATAP,ATAP.JK,,
BAJA,BAJA.JK,,
BALI,BALI.JK,,
BANK,BANK.JK,,
BAPA,BAPA.JK,,
BATA,BATA.JK,,
BAYU,BAYU.JK,,
BBCA,BBCA.JK,,
BBHI,BBHI.JK,,
BBKP,BBKP.JK,,
BBLD,BBLD.JK,,
BBMD,BBMD.JK,,
BBNI,BBNI.JK,,
BBRI,BBRI.JK,,
BBRM,BBRM.JK,,
BBTN,BBTN.JK,,
BBYB,BBYB.JK,,
BCAP,BCAP.JK,,
BCIC,BCIC.JK,,
BCIP,BCIP.JK,,
BDMN,BDMN.JK,,
BEKS,BEKS.JK,,
BEST,BEST.JK,,
BFIN,BFIN.JK,,
BGTG,BGTG.JK,,
BHIT,BHIT.JK,,
BIKA,BIKA.JK,,
BIMA,BIMA.JK,,
BINA,BINA.JK,,
BIPI,BIPI.JK,,
BIPP,BIPP.JK,,
BIRD,BIRD.JK,,
BISI,BISI.JK,,
BJBR,BJBR.JK,,
BJTM,BJTM.JK,,
BKDP,BKDP.JK,,
BKSL,BKSL.JK,,
BKSW,BKSW.JK,,
BLTA,BLTA.JK,,
BLTZ,BLTZ.JK,,
BMAS,BMAS.JK,,
BMRI,BMRI.JK,,
BMSR,BMSR.JK,,
BMTR,BMTR.JK,,
BNBA,BNBA.JK,,
BNBR,BNBR.JK,,
BNGA,BNGA.JK,,
BNII,BNII.JK,,
BNLI,BNLI.JK,,
BOLT,BOLT.JK,,
BPFI,BPFI.JK,,
BPII,BPII.JK,,
BPTR,BPTR.JK,,
BRAM,BRAM.JK,,
BRMS,BRMS.JK,,
BRNA,BRNA.JK,,
BRPT,BRPT.JK,,
BSDE,BSDE.JK,,
BSIM,BSIM.JK,,
BUKK,BUKK.JK,,
BULL,BULL.JK,,
BUMI,BUMI.JK,,
BUVA,BUVA.JK,,
BVIC,BVIC.JK,,
BWPT,BWPT.JK,,
BYAN,BYAN.JK,,
CANI,CANI.JK,,
CASS,CASS.JK,,
CEKA,CEKA.JK,,
CENT,CENT.JK,,
CFIN,CFIN.JK,,
CHEK,CHEK.JK,Healthcare,Development
CINT,CINT.JK,,
CITA,CITA.JK,,
CLPI,CLPI.JK,,
CMNP,CMNP.JK,,
CMPP,CMPP.JK,,
CNKO,CNKO.JK,,
CNTX,CNTX.JK,,
COIN,COIN.JK,Financials/Technology?,Development
COWL,COWL.JK,,
CPIN,CPIN.JK,,
CPRO,CPRO.JK,,
CSAP,CSAP.JK,,
CTBN,CTBN.JK,,
CTRA,CTRA.JK,,
CTTH,CTTH.JK,,
DART,DART.JK,,
DCII,DCII.JK,,
DEFI,DEFI.JK,,
DEWA,DEWA.JK,,
DGIK,DGIK.JK,,
DGNS,DGNS.JK,,
DILD,DILD.JK,,
DKFT,DKFT.JK,,
DLTA,DLTA.JK,,
DMAS,DMAS.JK,,
DNAR,DNAR.JK,,
DNET,DNET.JK,,
DOID,DOID.JK,,
